"offer","brand","description","category","activated_date","expiration_date","url"
"Save $3.00","Beyond®","on one (1) 13lb or larger bag of Purina® Beyond® Dry Dog Food, any variety","Pet Care > Dog Food > Dry","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","KIWI®","off any ONE (1) KIWI® Cleaners Product","Household > Home Supplies > Shoe Care","2018-03-04T00:01:00-0800","2018-05-06T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"GET $2.00 OFF","HUGGIES®","any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger)","Baby & Toddler > Baby Products > Baby Diapers","2018-03-01T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"BUY 3, GET 1 FREE","Happy Baby® or Happy Tot®","Buy any THREE (3) Happy Baby® or Happy Tot® pouches, get a FOURTH (4th) FREE (Max Value $2.39)","Baby & Toddler > Baby Food > Baby Food","2018-03-19T00:01:00-0700","2018-05-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","METAMUCIL®","ONE Metamucil® Appetite Control Fiber Supplement Product (excludes trial/travel size)","Health Care > Dietary Supplements > Dietary Supplements","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Gerber®","on any TWO (2) Gerber® Cereals","Baby & Toddler > Baby Food > Baby Food","2018-03-01T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 30¢ ON ONE","Oui™ by Yoplait®","when you buy ONE CUP any variety Oui™ by Yoplait®","Foods > Dairy > Yogurt","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","Estroven®","on any ONE (1) Estroven® product","Health Care > Dietary Supplements > Dietary Supplements","2017-12-30T00:01:00-0800","2018-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.50","Citrucel®","on any ONE (1) Citrucel® product","Health Care > Digestive Aids > Digestive Aids","2018-03-11T00:01:00-0800","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","FLONASE®","on any FLONASE® or FLONASE® Sensimist™ Spray 60 ct or larger","Health Care > Cough/Cold Remedies > Cough/Cold: Adult","2018-02-11T00:01:00-0800","2018-07-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","SKIPPY® Brand","on the purchase of any one (1) SKIPPY® P.B. Bites products","Foods > Snacks > Sweet Snacks","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","Schick® Disposable Razor","on any ONE (1) Schick® Disposable Razor Pack (excludes 1 ct., Slim Twin® 2 ct. and 6 ct.)","Personal Care > Shaving Needs > Razors & Blades:  Men","2018-03-11T00:01:00-0800","2018-04-12T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Meow Mix®","on any ONE (1) bag of Meow Mix® dry cat food","Pet Care > Cat Food > Dry","2018-03-16T00:01:00-0700","2018-06-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Eye product","Personal Care > Cosmetics > Eyebrow & Eyeliner","2018-03-04T00:01:00-0800","2018-04-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","OxiClean™","on any ONE (1) OxiClean™ Laundry Detergent","Household > Laundry/Fabric Care > Laundry Detergents","2018-03-18T00:01:00-0700","2018-04-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Tidy Cats®","on one (1) package of Purina® Tidy Cats® LightWeight cat litter, any size, any variety","Pet Care > Pet Supplies > Cat Litter","2018-02-12T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Soothe®","ANY ONE (1) Soothe® product","Personal Care > Eye Care > Eye Care","2018-03-18T00:01:00-0700","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","Pine-Sol®","on any ONE (1) Pine-Sol® multi-purpose cleaner, 40oz or larger","Household > Household Cleaners/ Supplies > All Purpose Cleaners:  Floor","2018-03-18T00:01:00-0700","2018-04-28T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Fancy Feast®","on ten (10) 3oz cans of Purina® Fancy Feast® Medley's Gourmet Cat Food, any variety","Pet Care > Cat Food > Canned","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $4.00","Children's Claritin®","on Non-Drowsy Children's Claritin® Chewables (20 count or larger)","Health Care > Cough/Cold Remedies > Cough/Cold: Children","2018-03-15T00:01:00-0700","2018-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Clairol®","ONE (1) box of Clairol® Temporary Root Touch Up Hair Color (excludes trial/travel size)","Personal Care > Hair Care > Hair Coloring","2018-03-11T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","TYLENOL or MOTRIN","on any ONE (1) Children's or Infants' TYLENOL® or Children's or Infants' MOTRIN® product","Health Care > Internal Analgesics > Internal Analygesic: Children","2018-02-26T00:01:00-0800","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
