"offer","brand","description","activated_date","expiration_date","url"
"SAVE $1.50","Citrucel®","on any ONE (1) Citrucel® product","2018-03-11T00:01:00-0800","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $3.00","Prevacid® 24HR","on any ONE (1) Prevacid® 24HR","2018-03-11T00:01:00-0800","2018-04-08T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"BUY 2 GET 1 FREE","Right Guard®","on RIGHT GUARD® XTREME™ & Best Dressed Collection™ Antiperspirants or Deodorants (excludes trial/travel sizes) Max Value: $4.99","2018-03-11T00:01:00-0800","2018-03-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.50 OFF","Foster Farms®","any TWO (2) Corn Dogs 29.3 oz. or larger, Frozen Cooked Chicken 18.0 oz. or larger, Fresh & Natural Ground Turkey or Lunch Meat","2018-03-11T00:01:00-0800","2018-05-02T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","José Olé®","on ONE (1) José Olé® Taquitos or Snacks (16 oz. or larger)","2018-03-09T00:01:00-0800","2018-05-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.50","Silk®","on TWO (2) Silk® Soymilk Half Gallon or larger","2018-03-07T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Fancy Feast®","on twelve (12) 3oz cans of Purina® Fancy Feast® brand wet cat food, any variety","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","JUST CRACK AN EGG","on any two (2) JUST CRACK AN EGG products","2018-03-07T00:01:00-0800","2018-05-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","L'Oreal Paris","on ANY (1) L'Oreal Paris Elvive or Hair Expert or Advanced Hairstyle hair care product (excludes 1oz, 3oz shampoo & conditioner)","2018-03-04T00:01:00-0800","2018-05-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","BOOST®","on any ONE (1) multipack or canister of BOOST® Nutritional Drink or Drink Mix","2018-03-01T00:01:00-0800","2018-05-01T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $0.50","HORMEL™ NATURAL CHOICE™ Snacking","on the purchase of any one (1) HORMEL™ NATURAL CHOICE™ snack product","2018-03-01T00:01:00-0800","2018-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
